Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,209,C Programming/Engg,A,"Valenzuela,Jorge Luis",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUE1117,2:30 PM,4:20 PM,N,N,N,N,Y,N,N,3,3,LAB
CIS,209,C Programming/Engg,B,"Valenzuela,Jorge Luis",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUE1114,3:30 PM,5:20 PM,N,N,Y,N,N,N,N,3,3,LAB
CIS,209,C Programming/Engg,C,"Valenzuela,Jorge Luis",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUE1114,5:00 PM,6:50 PM,N,Y,N,N,N,N,N,3,3,LAB
CIS,209,C Programming/Engg,ZA,"Valenzuela,Jorge Luis",No Special Consent Required,50, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,LAB
CIS,300,Data & Program Struct,A,"Howell,Rodney R",No Special Consent Required,40, ,8/20/2018,12/7/2018,DUE1114,9:30 AM,11:20 AM,Y,N,Y,N,Y,N,N,3,3,LAB
CIS,300,Data & Program Struct,B,"Weese,Joshua Levi",No Special Consent Required,40, ,8/20/2018,12/7/2018,DUE1114,11:30 AM,1:20 PM,Y,N,Y,N,Y,N,N,3,3,LAB
CIS,300,Data & Program Struct,C,"Howell,Rodney R",No Special Consent Required,40, ,8/20/2018,12/7/2018,DUE1114,1:30 PM,3:20 PM,Y,N,Y,N,Y,N,N,3,3,LAB
CIS,301,Log Foundatn/Progrmg,A,"Hatcliff,John",No Special Consent Required,100, ,8/20/2018,12/7/2018,DUR1073,9:30 AM,10:45 AM,N,Y,N,Y,N,N,N,3,3,REC
CIS,308,C Language Lab,A,"Coleman,Ashley",No Special Consent Required,50, ,8/20/2018,12/7/2018,DUE1114,3:00 PM,4:50 PM,N,Y,N,N,N,N,N,1,1,LAB
CIS,308,C Language Lab,B,"Coleman,Ashley",No Special Consent Required,50, ,8/20/2018,12/7/2018,DUE1114,1:00 PM,2:50 PM,N,Y,N,N,N,N,N,1,1,LAB
